Date of transaction,Entity name,Number of units,Unit type
16/06/2023,"Natural Capital Partners Americas, LLC",178,CER
16/06/2023,"Natural Capital Partners Americas, LLC",197,CER
16/06/2023,"Natural Capital Partners Americas, LLC",165,CER
16/06/2023,"Natural Capital Partners Americas, LLC",31,CER
16/06/2023,"Natural Capital Partners Americas, LLC",35,CER
16/06/2023,"Natural Capital Partners Americas, LLC",225,CER
16/06/2023,"Natural Capital Partners Americas, LLC",37,CER
16/06/2023,"Natural Capital Partners Americas, LLC",104,CER
16/06/2023,"Natural Capital Partners Americas, LLC","1,217",CER
16/06/2023,"Natural Capital Partners Americas, LLC",57,CER
16/06/2023,"Natural Capital Partners Americas, LLC",350,CER
16/06/2023,"Natural Capital Partners Americas, LLC",5,CER
16/06/2023,"Natural Capital Partners Americas, LLC",61,CER
16/06/2023,"Natural Capital Partners Americas, LLC",63,CER
16/06/2023,"Natural Capital Partners Americas, LLC",93,CER
16/06/2023,"Natural Capital Partners Americas, LLC",76,CER
16/06/2023,"Natural Capital Partners Americas, LLC",55,CER
16/06/2023,"Natural Capital Partners Americas, LLC",23,CER
15/06/2023,BETACARBON PTY LTD,4,KACCU
15/06/2023,BETACARBON PTY LTD,3,KACCU
15/06/2023,BETACARBON PTY LTD,137,KACCU
15/06/2023,BETACARBON PTY LTD,5,KACCU
15/06/2023,"Natural Capital Partners Americas, LLC",86,CER
15/06/2023,"Natural Capital Partners Americas, LLC",109,CER
15/06/2023,"Natural Capital Partners Americas, LLC",139,CER
15/06/2023,"Natural Capital Partners Americas, LLC",29,CER
15/06/2023,"Natural Capital Partners Americas, LLC",56,CER
15/06/2023,"Natural Capital Partners Americas, LLC",134,CER
15/06/2023,"Natural Capital Partners Americas, LLC",24,CER
15/06/2023,"Natural Capital Partners Americas, LLC",16,CER
15/06/2023,"Natural Capital Partners Americas, LLC",23,CER
15/06/2023,"Natural Capital Partners Americas, LLC",19,CER
15/06/2023,"Natural Capital Partners Americas, LLC",2,CER
15/06/2023,"Natural Capital Partners Americas, LLC",19,CER
15/06/2023,"Natural Capital Partners Americas, LLC",19,CER
15/06/2023,"Natural Capital Partners Americas, LLC",1,CER
15/06/2023,"Natural Capital Partners Americas, LLC",50,CER
15/06/2023,"Natural Capital Partners Americas, LLC",36,CER
15/06/2023,"Natural Capital Partners Americas, LLC",42,CER
15/06/2023,"Natural Capital Partners Americas, LLC",80,CER
15/06/2023,HOBART INTERNATIONAL AIRPORT PTY LIMITED,600,KACCU
14/06/2023,"Natural Capital Partners Americas, LLC","5,048",CER
14/06/2023,CARBON NEUTRAL PTY LTD,40,CER
14/06/2023,VIRIDIOS CAPITAL PTY LTD,237,KACCU
14/06/2023,CARBON NEUTRAL PTY LTD,70,CER
14/06/2023,Tasman Environmental Markets Australia Pty Ltd,20,KACCU
14/06/2023,Blue-Leafed Mallee Pty Ltd,57,KACCU
13/06/2023,CARBON NEUTRAL PTY LTD,3,CER
13/06/2023,AGL HP1 Pty Limited,"1,709",KACCU
13/06/2023,CARBON NEUTRAL PTY LTD,50,CER
13/06/2023,CARBON NEUTRAL PTY LTD,"1,500",CER
13/06/2023,Enviro-Mark Solutions Limited,33,CER
13/06/2023,Enviro-Mark Solutions Limited,491,CER
13/06/2023,Enviro-Mark Solutions Limited,7,CER
13/06/2023,Enviro-Mark Solutions Limited,100,CER
13/06/2023,Enviro-Mark Solutions Limited,159,CER
13/06/2023,Enviro-Mark Solutions Limited,3,CER
13/06/2023,Enviro-Mark Solutions Limited,664,CER
13/06/2023,Enviro-Mark Solutions Limited,20,CER
13/06/2023,South Pole Australia Financial Services Pty Ltd,24,KACCU
09/06/2023,Tasman Environmental Markets Australia Pty Ltd,"1,500",KACCU
09/06/2023,EVERCLIME PTY LTD,100,KACCU
09/06/2023,COLES ENVIRONMENTAL SERVICES PTY LTD,"7,045",KACCU
09/06/2023,Tasman Environmental Markets Pty Ltd,152,KACCU
09/06/2023,Tasman Environmental Markets Pty Ltd,5,KACCU
09/06/2023,Commonwealth Bank of Australia,"5,500",KACCU
09/06/2023,Commonwealth Bank of Australia,8,KACCU
08/06/2023,CARBON NEUTRAL PTY LTD,100,CER
08/06/2023,Australian CO2 Exchange Pty Ltd,149,KACCU
08/06/2023,Tasman Environmental Markets Australia Pty Ltd,230,KACCU
08/06/2023,Tasman Environmental Markets Pty Ltd,"2,008",CER
08/06/2023,Tasman Environmental Markets Pty Ltd,106,KACCU
08/06/2023,Perenia Pty Ltd,"5,950",CER
07/06/2023,CARBON NEUTRAL PTY LTD,28,CER
07/06/2023,CARBON NEUTRAL PTY LTD,25,CER
07/06/2023,CARBON NEUTRAL PTY LTD,25,CER
07/06/2023,CARBON NEUTRAL PTY LTD,36,CER
07/06/2023,Enviro-Mark Solutions Limited,"30,000",CER
07/06/2023,Enviro-Mark Solutions Limited,160,CER
07/06/2023,Enviro-Mark Solutions Limited,110,CER
06/06/2023,Origin Energy Electricity Ltd,17,KACCU
06/06/2023,Tasman Environmental Markets Australia Pty Ltd,100,KACCU
05/06/2023,GAIA INVESTMENTS (AUST) PTY LTD,186,KACCU
05/06/2023,Tasman Environmental Markets Pty Ltd,5,KACCU
05/06/2023,Aboriginal Carbon Fund Limited,162,KACCU
05/06/2023,ENERGYLINK SERVICES PTY LTD,83,KACCU
05/06/2023,Perenia Pty Ltd,"2,812",CER
05/06/2023,Perenia Pty Ltd,"1,100",CER
02/06/2023,Carbon Financial Services Pty. Ltd.,204,KACCU
01/06/2023,EKI Energy Services Limited,"1,064",CER
01/06/2023,EKI Energy Services Limited,"3,300",CER
01/06/2023,EKI Energy Services Limited,"148,362",CER
01/06/2023,Ozwide Energy Group Pty Ltd,105,KACCU
01/06/2023,Tasman Environmental Markets Australia Pty Ltd,251,KACCU
31/05/2023,Tasman Environmental Markets Australia Pty Ltd,326,KACCU
31/05/2023,Tasman Environmental Markets Pty Ltd,"1,337",KACCU
31/05/2023,Tasman Environmental Markets Pty Ltd,"4,458",CER
31/05/2023,Tasman Environmental Markets Pty Ltd,"14,862",CER
31/05/2023,Tasman Environmental Markets Pty Ltd,"5,126",KACCU
31/05/2023,CARBON NEUTRAL PTY LTD,"1,200",CER
31/05/2023,"Natural Capital Partners Americas, LLC","57,700",CER
31/05/2023,"Natural Capital Partners Americas, LLC","32,829",CER
31/05/2023,"Natural Capital Partners Americas, LLC","16,750",CER
31/05/2023,"Natural Capital Partners Americas, LLC","5,260",CER
31/05/2023,"Natural Capital Partners Americas, LLC",406,CER
31/05/2023,"Natural Capital Partners Americas, LLC",257,CER
30/05/2023,Aboriginal Carbon Fund Limited,122,KACCU
30/05/2023,Tasman Environmental Markets Australia Pty Ltd,"8,100",CER
30/05/2023,Tasman Environmental Markets Australia Pty Ltd,900,KACCU
30/05/2023,Carbon Financial Services Pty. Ltd.,42,KACCU
30/05/2023,Carbon Financial Services Pty. Ltd.,42,KACCU
29/05/2023,ENERGYLINK SERVICES PTY LTD,1,KACCU
29/05/2023,ENERGYLINK SERVICES PTY LTD,399,KACCU
29/05/2023,ENERGYLINK SERVICES PTY LTD,244,KACCU
29/05/2023,Tasman Environmental Markets Pty Ltd,"25,000",KACCU
29/05/2023,Carbonhalo Pty Ltd,2,KACCU
29/05/2023,Carbonhalo Pty Ltd,2,KACCU
29/05/2023,CARBON NEUTRAL PTY LTD,650,CER
29/05/2023,Carbon Financial Services Pty. Ltd.,38,KACCU
29/05/2023,Carbon Financial Services Pty. Ltd.,"2,753",KACCU
29/05/2023,Carbon Financial Services Pty. Ltd.,60,KACCU
29/05/2023,Carbon Financial Services Pty. Ltd.,36,KACCU
29/05/2023,Carbon Financial Services Pty. Ltd.,29,KACCU
29/05/2023,Carbon Financial Services Pty. Ltd.,48,KACCU
29/05/2023,Carbon Financial Services Pty. Ltd.,13,KACCU
29/05/2023,Carbon Financial Services Pty. Ltd.,168,KACCU
29/05/2023,Carbon Financial Services Pty. Ltd.,6,KACCU
29/05/2023,Carbon Financial Services Pty. Ltd.,40,KACCU
29/05/2023,Carbon Financial Services Pty. Ltd.,"1,574",KACCU
29/05/2023,Carbon Financial Services Pty. Ltd.,831,KACCU
29/05/2023,Carbon Financial Services Pty. Ltd.,28,KACCU
29/05/2023,Carbon Financial Services Pty. Ltd.,106,KACCU
29/05/2023,Carbon Financial Services Pty. Ltd.,797,KACCU
29/05/2023,Carbon Financial Services Pty. Ltd.,116,KACCU
29/05/2023,Carbon Financial Services Pty. Ltd.,5,KACCU
29/05/2023,Carbon Financial Services Pty. Ltd.,23,KACCU
29/05/2023,Carbon Financial Services Pty. Ltd.,115,KACCU
26/05/2023,Tasman Environmental Markets Pty Ltd,"43,061",CER
26/05/2023,Tasman Environmental Markets Pty Ltd,422,KACCU
26/05/2023,Tasman Environmental Markets Pty Ltd,"4,362",KACCU
26/05/2023,Carbon Financial Services Pty. Ltd.,822,KACCU
26/05/2023,Commonwealth Bank of Australia,550,KACCU
26/05/2023,BETACARBON PTY LTD,15,KACCU
26/05/2023,BETACARBON PTY LTD,68,KACCU
25/05/2023,CARBON NEUTRAL PTY LTD,550,CER
25/05/2023,Enviro-Mark Solutions Limited,"1,214",CER
25/05/2023,Enviro-Mark Solutions Limited,"1,520",CER
25/05/2023,Enviro-Mark Solutions Limited,63,CER
25/05/2023,Enviro-Mark Solutions Limited,215,CER
25/05/2023,Enviro-Mark Solutions Limited,"5,253",CER
25/05/2023,Enviro-Mark Solutions Limited,"4,000",CER
25/05/2023,Enviro-Mark Solutions Limited,"6,000",CER
25/05/2023,Enviro-Mark Solutions Limited,72,CER
24/05/2023,Tasman Environmental Markets Pty Ltd,950,CER
24/05/2023,BETACARBON PTY LTD,213,KACCU
24/05/2023,Aboriginal Carbon Fund Limited,291,KACCU
24/05/2023,BETACARBON PTY LTD,30,KACCU
23/05/2023,CANOPY NATURE BASED SOLUTIONS PTY LTD,"1,895",KACCU
23/05/2023,CARBON NEUTRAL PTY LTD,10,CER
23/05/2023,CARBON NEUTRAL PTY LTD,20,CER
23/05/2023,CARBON NEUTRAL PTY LTD,27,CER
23/05/2023,CARBON NEUTRAL PTY LTD,3,CER
23/05/2023,CARBON NEUTRAL PTY LTD,27,CER
23/05/2023,CARBON NEUTRAL PTY LTD,2,CER
23/05/2023,CARBON NEUTRAL PTY LTD,18,CER
23/05/2023,CARBON NEUTRAL PTY LTD,18,CER
23/05/2023,CARBON NEUTRAL PTY LTD,65,CER
23/05/2023,CARBON NEUTRAL PTY LTD,20,CER
23/05/2023,CARBON NEUTRAL PTY LTD,40,CER
23/05/2023,CARBON NEUTRAL PTY LTD,18,CER
23/05/2023,Tasman Environmental Markets Pty Ltd,"10,762",CER
23/05/2023,Tasman Environmental Markets Pty Ltd,280,KACCU
22/05/2023,Tasman Environmental Markets Australia Pty Ltd,"1,402",KACCU
22/05/2023,BETACARBON PTY LTD,73,KACCU
19/05/2023,CARBON NEUTRAL PTY LTD,217,CER
19/05/2023,South Pole Australia Financial Services Pty Ltd,"3,100",KACCU
19/05/2023,SG OPTION FUNDS PTY LTD,214,KACCU
19/05/2023,Aboriginal Carbon Fund Limited,30,KACCU
19/05/2023,Carbon Financial Services Pty. Ltd.,"55,296",CER
18/05/2023,Enviro-Mark Solutions Limited,"1,140",CER
18/05/2023,Enviro-Mark Solutions Limited,"3,347",CER
18/05/2023,Aboriginal Carbon Fund Limited,307,KACCU
18/05/2023,VIRIDIOS CAPITAL PTY LTD,75,KACCU
18/05/2023,BETACARBON PTY LTD,4,KACCU
18/05/2023,BETACARBON PTY LTD,3,KACCU
18/05/2023,"Natural Capital Partners Americas, LLC","22,500",CER
18/05/2023,"Natural Capital Partners Americas, LLC","8,000",CER
18/05/2023,"Natural Capital Partners Americas, LLC","6,848",CER
18/05/2023,"Natural Capital Partners Americas, LLC","4,000",CER
18/05/2023,"Natural Capital Partners Americas, LLC","2,145",CER
18/05/2023,"Natural Capital Partners Americas, LLC","1,830",CER
18/05/2023,"Natural Capital Partners Americas, LLC",800,CER
18/05/2023,"Natural Capital Partners Americas, LLC",598,CER
18/05/2023,"Natural Capital Partners Americas, LLC",548,CER
18/05/2023,"Natural Capital Partners Americas, LLC",534,CER
18/05/2023,"Natural Capital Partners Americas, LLC",273,CER
18/05/2023,"Natural Capital Partners Americas, LLC",167,CER
18/05/2023,"Natural Capital Partners Americas, LLC",156,CER
18/05/2023,"Natural Capital Partners Americas, LLC",150,CER
18/05/2023,"Natural Capital Partners Americas, LLC",50,CER
17/05/2023,CARBON NEUTRAL PTY LTD,"1,500",CER
17/05/2023,Terra Carbon Pty Ltd,253,KACCU
16/05/2023,BETACARBON PTY LTD,3,KACCU
15/05/2023,Aboriginal Carbon Fund Limited,150,KACCU
15/05/2023,BETACARBON PTY LTD,36,KACCU
15/05/2023,VIRIDIOS CAPITAL PTY LTD,25,KACCU
15/05/2023,The Sigma Global Company Pty Limited,"20,505",CER
12/05/2023,South Pole Australia Financial Services Pty Ltd,1,KACCU
12/05/2023,South Pole Australia Financial Services Pty Ltd,752,KACCU
12/05/2023,South Pole Australia Financial Services Pty Ltd,748,KACCU
12/05/2023,Aboriginal Carbon Fund Limited,553,KACCU
12/05/2023,South Pole Australia Financial Services Pty Ltd,"1,800",KACCU
11/05/2023,Terra Carbon Pty Ltd,"1,049",CER
11/05/2023,Terra Carbon Pty Ltd,"2,038",KACCU
11/05/2023,Corporate Carbon Advisory Pty Ltd,20,KACCU
10/05/2023,Climate Friendly Financial Solutions Pty Limited,"1,000",KACCU
10/05/2023,BETACARBON PTY LTD,119,KACCU
09/05/2023,CARBON NEUTRAL PTY LTD,71,CER
09/05/2023,CARBON NEUTRAL PTY LTD,122,CER
09/05/2023,Carbon Financial Services Pty. Ltd.,337,KACCU
09/05/2023,Carbon Financial Services Pty. Ltd.,337,KACCU
09/05/2023,Carbon Financial Services Pty. Ltd.,42,KACCU
08/05/2023,CARBON NEUTRAL PTY LTD,110,CER
08/05/2023,GAIA INVESTMENTS (AUST) PTY LTD,20,KACCU
08/05/2023,Aboriginal Carbon Fund Limited,84,KACCU
08/05/2023,Commonwealth Bank of Australia,5,KACCU
08/05/2023,South Pole Australia Financial Services Pty Ltd,"2,742",KACCU
05/05/2023,Tasman Environmental Markets Pty Ltd,944,KACCU
05/05/2023,Tasman Environmental Markets Pty Ltd,"3,147",CER
05/05/2023,Tasman Environmental Markets Pty Ltd,42,CER
05/05/2023,Tasman Environmental Markets Pty Ltd,12,KACCU
05/05/2023,Tasman Environmental Markets Pty Ltd,78,KACCU
05/05/2023,Tasman Environmental Markets Pty Ltd,363,CER
05/05/2023,Enviro-Mark Solutions Limited,"18,271",CER
05/05/2023,Enviro-Mark Solutions Limited,"6,481",CER
05/05/2023,Enviro-Mark Solutions Limited,13,CER
05/05/2023,Enviro-Mark Solutions Limited,27,CER
05/05/2023,Enviro-Mark Solutions Limited,75,CER
05/05/2023,Enviro-Mark Solutions Limited,180,CER
05/05/2023,Enviro-Mark Solutions Limited,32,CER
05/05/2023,Enviro-Mark Solutions Limited,119,CER
05/05/2023,Enviro-Mark Solutions Limited,4,CER
05/05/2023,Enviro-Mark Solutions Limited,791,CER
05/05/2023,Enviro-Mark Solutions Limited,2,CER
05/05/2023,Enviro-Mark Solutions Limited,148,CER
05/05/2023,Enviro-Mark Solutions Limited,110,CER
05/05/2023,Enviro-Mark Solutions Limited,169,CER
05/05/2023,"Natural Capital Partners Americas, LLC",39,CER
05/05/2023,"Natural Capital Partners Americas, LLC",646,CER
04/05/2023,Enviro-Mark Solutions Limited,13,CER
04/05/2023,Enviro-Mark Solutions Limited,4,CER
04/05/2023,Enviro-Mark Solutions Limited,"2,980",CER
04/05/2023,Enviro-Mark Solutions Limited,17,CER
04/05/2023,Enviro-Mark Solutions Limited,115,CER
04/05/2023,Enviro-Mark Solutions Limited,20,CER
04/05/2023,CARBON NEUTRAL PTY LTD,257,CER
04/05/2023,Tasman Environmental Markets Australia Pty Ltd,500,KACCU
04/05/2023,BETACARBON PTY LTD,6,KACCU
03/05/2023,BETACARBON PTY LTD,3,KACCU
03/05/2023,CARBON NEUTRAL PTY LTD,216,CER
03/05/2023,BETACARBON PTY LTD,16,KACCU
03/05/2023,Carbon Financial Services Pty. Ltd.,123,KACCU
03/05/2023,Carbon Financial Services Pty. Ltd.,40,KACCU
03/05/2023,Carbon Financial Services Pty. Ltd.,55,KACCU
03/05/2023,Carbon Financial Services Pty. Ltd.,55,KACCU
03/05/2023,Carbon Financial Services Pty. Ltd.,23,KACCU
03/05/2023,"Natural Capital Partners Americas, LLC","3,479",CER
03/05/2023,"Natural Capital Partners Americas, LLC","22,863",CER
02/05/2023,Tasman Environmental Markets Australia Pty Ltd,527,KACCU
02/05/2023,Macquarie Bank Limited,"8,150",KACCU
02/05/2023,Aboriginal Carbon Fund Limited,120,KACCU
02/05/2023,Carbon Financial Services Pty. Ltd.,"1,137",CER
02/05/2023,Carbon Financial Services Pty. Ltd.,"1,136",CER
02/05/2023,Carbon Financial Services Pty. Ltd.,"1,137",CER
02/05/2023,Carbon Financial Services Pty. Ltd.,"1,163",CER
02/05/2023,Carbon Financial Services Pty. Ltd.,"1,158",CER
02/05/2023,Carbon Financial Services Pty. Ltd.,"1,178",CER
02/05/2023,Carbon Financial Services Pty. Ltd.,"1,201",CER
02/05/2023,Carbon Financial Services Pty. Ltd.,"1,199",CER
02/05/2023,Carbon Financial Services Pty. Ltd.,"1,206",CER
02/05/2023,Carbon Financial Services Pty. Ltd.,"1,228",CER
02/05/2023,Carbon Financial Services Pty. Ltd.,"1,246",CER
02/05/2023,Carbon Financial Services Pty. Ltd.,"1,256",CER
02/05/2023,Carbon Financial Services Pty. Ltd.,"1,271",CER
02/05/2023,Carbon Financial Services Pty. Ltd.,"1,278",CER
02/05/2023,Carbon Financial Services Pty. Ltd.,"1,282",CER
01/05/2023,The Sigma Global Company Pty Limited,34,KACCU
30/04/2023,Enviro-Mark Solutions Limited,907,CER
30/04/2023,Enviro-Mark Solutions Limited,104,CER
30/04/2023,Enviro-Mark Solutions Limited,31,CER
30/04/2023,Enviro-Mark Solutions Limited,14,CER
30/04/2023,Enviro-Mark Solutions Limited,"3,000",CER
30/04/2023,Enviro-Mark Solutions Limited,81,CER
30/04/2023,Enviro-Mark Solutions Limited,"1,314",CER
30/04/2023,Enviro-Mark Solutions Limited,"2,250",CER
30/04/2023,Enviro-Mark Solutions Limited,211,CER
30/04/2023,Enviro-Mark Solutions Limited,"1,922",CER
30/04/2023,Enviro-Mark Solutions Limited,"3,451",CER
29/04/2023,"Natural Capital Partners Americas, LLC","2,424",CER
28/04/2023,Northmore Gordon Environmental Pty Ltd,203,KACCU
27/04/2023,Ozwide Energy Group Pty Ltd,31,KACCU
27/04/2023,Macquarie Bank Limited,"15,000",KACCU
27/04/2023,Carbonhalo Pty Ltd,10,KACCU
27/04/2023,Carbonhalo Pty Ltd,63,KACCU
27/04/2023,Tasman Environmental Markets Australia Pty Ltd,"1,241",KACCU
26/04/2023,Origin Energy Electricity Ltd,142,KACCU
26/04/2023,Corporate Carbon Advisory Pty Ltd,132,KACCU
26/04/2023,Aboriginal Carbon Fund Limited,30,KACCU
24/04/2023,SG OPTION FUNDS PTY LTD,100,KACCU
24/04/2023,BETACARBON PTY LTD,33,KACCU
24/04/2023,Terra Carbon Pty Ltd,784,KACCU
24/04/2023,BETACARBON PTY LTD,28,KACCU
24/04/2023,BETACARBON PTY LTD,10,KACCU
21/04/2023,Tasman Environmental Markets Australia Pty Ltd,"1,000",KACCU
21/04/2023,CARBON NEUTRAL PTY LTD,183,CER
21/04/2023,Aboriginal Carbon Fund Limited,"3,000",KACCU
20/04/2023,CARBON NEUTRAL PTY LTD,30,CER
20/04/2023,CARBON NEUTRAL PTY LTD,250,CER
20/04/2023,CARBON NEUTRAL PTY LTD,35,CER
20/04/2023,CARBON NEUTRAL PTY LTD,143,CER
20/04/2023,Australian Integrated Carbon Financial Services Pty Ltd,300,KACCU
20/04/2023,Tasman Environmental Markets Australia Pty Ltd,169,KACCU
20/04/2023,Origin Energy Electricity Ltd,"4,194",KACCU
20/04/2023,Origin Energy Electricity Ltd,"5,438",KACCU
20/04/2023,Origin Energy Electricity Ltd,413,KACCU
20/04/2023,Demand Manager Pty. Ltd.,6,KACCU
20/04/2023,CANOPY NATURE BASED SOLUTIONS PTY LTD,503,KACCU
20/04/2023,BETACARBON PTY LTD,238,KACCU
18/04/2023,SG OPTION FUNDS PTY LTD,19,KACCU
18/04/2023,CARBON NEUTRAL PTY LTD,"5,128",CER
18/04/2023,VIRIDIOS CAPITAL PTY LTD,180,KACCU
18/04/2023,Perenia Pty Ltd,"15,000",CER
18/04/2023,"Natural Capital Partners Americas, LLC","7,000",CER
14/04/2023,Carbon Financial Services Pty. Ltd.,686,KACCU
14/04/2023,South Pole Australia Financial Services Pty Ltd,95,KACCU
14/04/2023,WeAct Pty Ltd,"1,000",KACCU
14/04/2023,WeAct Pty Ltd,197,KACCU
13/04/2023,Commonwealth Bank of Australia,4,KACCU
13/04/2023,South Pole Australia Financial Services Pty Ltd,"2,701",KACCU
13/04/2023,South Pole Australia Financial Services Pty Ltd,201,KACCU
13/04/2023,South Pole Australia Financial Services Pty Ltd,"2,026",KACCU
13/04/2023,South Pole Australia Financial Services Pty Ltd,301,KACCU
13/04/2023,South Pole Australia Financial Services Pty Ltd,691,KACCU
13/04/2023,South Pole Australia Financial Services Pty Ltd,301,KACCU
13/04/2023,South Pole Australia Financial Services Pty Ltd,"1,726",KACCU
13/04/2023,South Pole Australia Financial Services Pty Ltd,901,KACCU
13/04/2023,South Pole Australia Financial Services Pty Ltd,"1,426",KACCU
12/04/2023,Jarden Australia Pty Ltd,205,KACCU
12/04/2023,Aboriginal Carbon Fund Limited,635,KACCU
12/04/2023,"Natural Capital Partners Americas, LLC","56,832",CER
11/04/2023,Climate Friendly Financial Solutions Pty Limited,235,KACCU
11/04/2023,Carbon Estate Pty Ltd,458,KACCU
06/04/2023,CARBON NEUTRAL PTY LTD,60,CER
05/04/2023,Carbon Financial Services Pty. Ltd.,405,KACCU
05/04/2023,Tasman Environmental Markets Pty Ltd,"2,647",KACCU
05/04/2023,Enviro-Mark Solutions Limited,9,CER
05/04/2023,Enviro-Mark Solutions Limited,206,CER
05/04/2023,Enviro-Mark Solutions Limited,"3,102",CER
05/04/2023,Enviro-Mark Solutions Limited,"1,732",CER
04/04/2023,CARBON NEUTRAL PTY LTD,3,CER
04/04/2023,Tasman Environmental Markets Pty Ltd,494,CER
03/04/2023,Tasman Environmental Markets Pty Ltd,"34,092",CER
03/04/2023,Terra Carbon Pty Ltd,"83,587",KACCU
03/04/2023,"Natural Capital Partners Americas, LLC",600,CER
31/03/2023,Aboriginal Carbon Fund Limited,"1,408",KACCU
31/03/2023,Tasman Environmental Markets Pty Ltd,"33,682",CER
31/03/2023,Commonwealth Bank of Australia,"1,099",KACCU
31/03/2023,Australia and New Zealand Banking Group Limited,250,KACCU
30/03/2023,Tasman Environmental Markets Pty Ltd,"8,100",CER
30/03/2023,Tasman Environmental Markets Pty Ltd,"9,000",CER
30/03/2023,Tasman Environmental Markets Australia Pty Ltd,288,KACCU
30/03/2023,Westpac Banking Corporation,"48,673",KACCU
30/03/2023,Tasman Environmental Markets Pty Ltd,741,KACCU
30/03/2023,Tasman Environmental Markets Pty Ltd,"2,468",CER
30/03/2023,Attunga Carbon & Enviro Fund,42,KACCU
30/03/2023,South Pole Australia Financial Services Pty Ltd,380,KACCU
29/03/2023,CARBON NEUTRAL PTY LTD,110,CER
29/03/2023,CARBON NEUTRAL PTY LTD,96,CER
29/03/2023,CARBON NEUTRAL PTY LTD,71,CER
29/03/2023,CARBON NEUTRAL PTY LTD,688,CER
29/03/2023,Carbon Estate Pty Ltd,"2,450",KACCU
28/03/2023,Macquarie Bank Limited,285,KACCU
28/03/2023,Carbonhalo Pty Ltd,4,KACCU
27/03/2023,BETACARBON PTY LTD,32,KACCU
27/03/2023,"Natural Capital Partners Americas, LLC","20,000",CER
27/03/2023,"Natural Capital Partners Americas, LLC","20,000",CER
27/03/2023,"Natural Capital Partners Americas, LLC",400,CER
24/03/2023,SG OPTION FUNDS PTY LTD,100,KACCU
24/03/2023,Carbon Estate Pty Ltd,200,KACCU
23/03/2023,EnergyAustralia Pty Ltd,"19,595",KACCU
23/03/2023,CARBON NEUTRAL PTY LTD,18,CER
23/03/2023,Viva Energy Australia Ltd,"2,400",KACCU
22/03/2023,Tasman Environmental Markets Australia Pty Ltd,223,KACCU
21/03/2023,Ozwide Energy Group Pty Ltd,269,KACCU
21/03/2023,Carbon Financial Services Pty. Ltd.,333,KACCU
21/03/2023,Carbon Financial Services Pty. Ltd.,355,KACCU
21/03/2023,Aboriginal Carbon Fund Limited,612,KACCU
20/03/2023,Ozwide Energy Group Pty Ltd,10,KACCU
20/03/2023,Terra Carbon Pty Ltd,"1,000",KACCU
20/03/2023,"Natural Capital Partners Americas, LLC","14,185",CER
20/03/2023,"Natural Capital Partners Americas, LLC",97,CER
17/03/2023,Jarden Australia Pty Ltd,72,KACCU
17/03/2023,CARBON NEUTRAL PTY LTD,597,CER
17/03/2023,POINT ZERO INTERNATIONAL PTY LTD,"1,000",KACCU
17/03/2023,Carbon Financial Services Pty. Ltd.,379,CER
17/03/2023,"Natural Capital Partners Americas, LLC","12,425",CER
17/03/2023,"Natural Capital Partners Americas, LLC","8,000",CER
17/03/2023,"Natural Capital Partners Americas, LLC","1,850",CER
17/03/2023,"Natural Capital Partners Americas, LLC","1,036",CER
17/03/2023,"Natural Capital Partners Americas, LLC",846,CER
16/03/2023,Tasman Environmental Markets Australia Pty Ltd,20,KACCU
16/03/2023,Tasman Environmental Markets Pty Ltd,"6,300",CER
16/03/2023,"Natural Capital Partners Americas, LLC","2,310",CER
16/03/2023,"Natural Capital Partners Americas, LLC",499,CER
16/03/2023,"Natural Capital Partners Americas, LLC",615,CER
16/03/2023,"Natural Capital Partners Americas, LLC","1,436",CER
16/03/2023,"Natural Capital Partners Americas, LLC",650,CER
16/03/2023,"Natural Capital Partners Americas, LLC",600,CER
16/03/2023,"Natural Capital Partners Americas, LLC",567,CER
16/03/2023,"Natural Capital Partners Americas, LLC",450,CER
16/03/2023,"Natural Capital Partners Americas, LLC",338,CER
16/03/2023,"Natural Capital Partners Americas, LLC",279,CER
16/03/2023,"Natural Capital Partners Americas, LLC",40,CER
16/03/2023,"Natural Capital Partners Americas, LLC",230,CER
16/03/2023,"Natural Capital Partners Americas, LLC",199,CER
16/03/2023,"Natural Capital Partners Americas, LLC",129,CER
16/03/2023,"Natural Capital Partners Americas, LLC",123,CER
16/03/2023,"Natural Capital Partners Americas, LLC",117,CER
16/03/2023,"Natural Capital Partners Americas, LLC",100,CER
15/03/2023,Bioeconomy Pte. Ltd.,24,CER
15/03/2023,CARBON NEUTRAL PTY LTD,30,CER
14/03/2023,Australia and New Zealand Banking Group Limited,"1,000",KACCU
14/03/2023,CANOPY NATURE BASED SOLUTIONS PTY LTD,490,KACCU
14/03/2023,Corporate Carbon Advisory Pty Ltd,225,KACCU
13/03/2023,"Natural Capital Partners Americas, LLC","6,120",CER
13/03/2023,"Natural Capital Partners Americas, LLC",295,CER
13/03/2023,"Natural Capital Partners Americas, LLC","10,569",CER
13/03/2023,"Natural Capital Partners Americas, LLC","33,514",CER
13/03/2023,"Natural Capital Partners Americas, LLC",260,CER
13/03/2023,"Natural Capital Partners Americas, LLC","9,000",CER
13/03/2023,"Natural Capital Partners Americas, LLC","2,300",CER
13/03/2023,"Natural Capital Partners Americas, LLC",19,CER
13/03/2023,"Natural Capital Partners Americas, LLC",856,CER
13/03/2023,"Natural Capital Partners Americas, LLC",152,CER
13/03/2023,"Natural Capital Partners Americas, LLC",255,CER
