Date of transaction,Entity name,Number of units,Unit type
18/03/2026,SOUTH POLE AUSTRALIA FINANCIAL SERVICES PTY LTD,73,KACCU
18/03/2026,SOUTH POLE AUSTRALIA FINANCIAL SERVICES PTY LTD,125,KACCU
18/03/2026,SOUTH POLE AUSTRALIA FINANCIAL SERVICES PTY LTD,56,KACCU
18/03/2026,SOUTH POLE AUSTRALIA FINANCIAL SERVICES PTY LTD,"3,000",KACCU
18/03/2026,"Climate Impact Partners, LLC","8,338",CER
18/03/2026,"Climate Impact Partners, LLC","20,000",CER
18/03/2026,"Climate Impact Partners, LLC","119,131",CER
18/03/2026,"Climate Impact Partners, LLC","2,500",CER
18/03/2026,Carbon Financial Services Pty. Ltd.,"50,780",CER
18/03/2026,Carbon Financial Services Pty. Ltd.,"50,261",CER
18/03/2026,Carbon Financial Services Pty. Ltd.,"57,314",CER
17/03/2026,Macquarie Bank Limited,"20,000",KACCU
16/03/2026,Origin Energy Electricity Limited,"3,386",KACCU
16/03/2026,Origin Energy Electricity Limited,"33,095",KACCU
16/03/2026,Origin Energy Electricity Limited,"39,801",KACCU
16/03/2026,Origin Energy Electricity Limited,"14,204",KACCU
16/03/2026,Origin Energy Electricity Limited,809,KACCU
16/03/2026,Origin Energy Electricity Limited,"1,300",KACCU
16/03/2026,Enviro-Mark Solutions Limited,51,CER
14/03/2026,"Climate Impact Partners, LLC","1,347",CER
14/03/2026,"Climate Impact Partners, LLC","4,968",CER
14/03/2026,"Climate Impact Partners, LLC","217,355",CER
13/03/2026,Kurrajong Partners Pty Ltd,"2,000",KACCU
11/03/2026,CARBON NEUTRAL PTY LTD,"1,441",KACCU
11/03/2026,Tasman Environmental Markets Australia Pty Ltd,56,KACCU
11/03/2026,VIRIDIOS CAPITAL PTY LTD,"1,400",KACCU
11/03/2026,CARBON NEUTRAL PTY LTD,70,CER
11/03/2026,CARBON NEUTRAL PTY LTD,"1,098",CER
10/03/2026,CARBON NEUTRAL PTY LTD,78,KACCU
10/03/2026,Tasman Environmental Markets Australia Pty Ltd,1,KACCU
