Company Name,Cohort,ASRS Tier,Sector,NGER Scope 1 (tCO2e),NGER Scope 2 (tCO2e),Priority
New Zealand Milk (Australasia) Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),97268.0,86179.0,34.45570684544569
Auscan Holdings Pty Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),96173.0,30.0,34.42174298956181
Ron Finemore Transport Pty. Ltd.,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),95085.0,384.0,34.387611072711
Lanco Resources Australia Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),93917.0,3856.0,34.35053202034884
Keolis Australia Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),93149.0,49683.0,34.325899128089205
National Jet Express Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),91574.0,269.0,34.27474076294105
Magnetic Infrastructure Group Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),91071.0,110.0,34.25821704434857
Westside Energy Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),90947.0,1468.0,34.25412958080009
Acciona Infrastructure Asia Pacific Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),90567.0,17036.0,34.24156868627384
Hochtief Australia Holdings Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),90393.0,58257.0,34.23579951748846
Ensco Australia Pty Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),89280.0,0.0,34.198631934807764
Karara Mining Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),88850.0,281244.0,34.18414826533047
The Trustee For The Maddingley Mine Trust,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),88549.0,322.0,34.17396792963294
Teekay Holdings Australia Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),85641.0,74.0,34.07379328801208
Regional Power Corporation,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),85402.82,26632.0,34.06543832836629
Collins Transport Group Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),84473.0,2613.0,34.03259722107175
Bemcove Pty. Ltd.,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),82509.0,722.0,33.96202433129517
A.A. Scott Proprietary Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),82274.0,2434.0,33.95346772143462
Boortmalt Australia Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),81798.0,65799.0,33.93606089273172
Strait Link Australia Holdings Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),81635.0,7239.0,33.93007686039918
Searoad Holdings Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),81146.0,711.0,33.91205281104802
Rio Tinto Shipping (Asia) Pte Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),79666.0,0.0,33.85683217901161
Resourceco Holdings Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),79550.0,13643.0,33.8524608131915
Recycle And Resource Holdings Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),79348.0,6841.0,33.84483337044207
Nh Foods Australia Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),77952.0,44770.0,33.79158407986337
Consolidated Minerals Holdings (Australia) Pty Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),76390.0,36.0,33.73086050150521
Teys Australia Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),76227.0,90773.0,33.7244523847448
Vitrinite Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),75603.0,56.0,33.69979341246254
Senex Holdings Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),74184.0,309.0,33.642951757154684
Food Investments Pty. Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),74081.0,110340.13,33.6387836003874
Atco Gas Australia Gp Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),73744.0,318.0,33.625105425880804
Kimberly-Clark Pacific Holdings Pty Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),72869.0,7916.06,33.58929693199298
The Trustee For Costa'S Unit Trust,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),71587.0,43398.0,33.536048223411896
Fenix Resources Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),70534.0,1242.0,33.49159295852581
Romaly Holdings Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),70120.0,438.0,33.47393280059964
Booth Transport Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),66464.0,2031.0,33.3132923169051
Knauf Gypsum Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),66065.0,29720.0,33.29522856402494
Busways Australia Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),66014.0,2568.0,33.292911803739905
Aurenne Group Holdings Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),64487.0,20223.0,33.22270331689031
Simplot Australia (Holdings) Pty Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),64375.0,20880.0,33.21748851547791
Etex Holding Australia Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),63104.0,15388.0,33.157665854078196
Qgif Swan Holdco Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),62784.0,837.0,33.14241441126919
City Of Kalgoorlie-Boulder,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),62195.0,4455.0,33.11413790393312
Figela  Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),61967.0,22.0,33.1031202052636
Central Petroleum Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),61533.0,103.0,33.08203543968082
Iberdrola Australia Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),60971.0,7814.0,33.05451006414519
Tasman Global Group Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),60957.0,1830.0,33.05382114427011
Bristow Helicopters Australia Pty Ltd.,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),60721.0,257.0,33.04218404881045
Friesian Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),60470.0,835.0,33.02975757076911
Wagga Wagga City Council,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),60446.0,87.0,33.02856668105963
Svitzer Australasia Holdings Pty Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),59779.0,1887.0,32.99527930751379
Porta Products Pty Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),59077.0,133851.0,32.95984165100637
Barro Group Pty Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),58787.51,22471.27,32.94510511988637
Lms Energy Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),58514.0,204.0,32.931115231826595
A.C.N. 620 728 225 Pty. Ltd.,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),58483.0,43.0,32.929525474611985
Shiying Agricultural Production Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),58249.0,18580.0,32.917498114283845
Ridley Corporation Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),57661.0,51666.0,32.88706097004517
Forestry Corporation Of New South Wales,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),57557.0,748.0,32.881645242138006
The Trustee For Xie Trust,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),57555.0,0.0,32.88154099764992
Vermilion Oil & Gas Australia Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),57327.0,76.0,32.86963331863421
Craig Mostyn Holdings Pty Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),56969.0,24157.0,32.85084027742332
Catalyst Metals Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),55965.0,8.0,32.79749892742285
D.M. & M.T. Nolan Pty. Ltd.,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),55805.0,4222.0,32.78891000841156
Armesto'S Holdings Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),55708.0,139.0,32.78369097826509
Ccci Australia Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),54770.0,44956.0,32.73274840734486
Fmh Group Holdings Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),54031.0,6342.0,32.69199522787605
Aic Mines Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),53690.0,18.0,32.67300200605655
Kimberley Mineral Sands Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),53684.0,8.0,32.67266673560471
Lynas Rare Earths Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),53257.0,14066.0,32.64870992108804
The Trustee For Aff Holding Trust,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),53056.0,40271.0,32.63736625898099
Sedco Forex International Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),52824.0,0.0,32.62421952745277
Ventura Motors Proprietary Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),51815.0,2711.0,32.56636278258826
The Trustee For Tapco Unit Trust,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),51454.0,2220.0,32.545388754810574
Asahi Holdings (Australia) Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),50960.0,100949.0,32.516447739862265
Central Seq Distributor-Retailer Authority,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),50350.0,66656.0,32.48032127676801
Qpm Energy Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),50282.0,16926.0,32.4762669803861
Lochard Energy (Iona Operations Holding) Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),49045.0,2379.0,32.401541736686475
Hume City Council,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),48887.0,13913.0,32.39186173972425
Casino Food Company Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),47142.0,19298.0,32.282822444057366
Aeris Resources Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),46358.0,84582.0,32.23251218070541
A B C Tissue Products Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),46246.0,70045.0,32.22525562791567
Fletcher Building (Australia) Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),45568.0,175737.0,32.180948819266725
Lactalis Australia Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),43394.0,82362.0,32.03429851823503
Fletcher International Group Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),43140.0,23693.0,32.016687300052666
Mackay Sugar Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),42980.0,7528.0,32.00554030968444
Boc Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),42280.0,267605.0,31.956279274647954
Thales Australia Holdings Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),41937.0,34337.0,31.931842848440077
Aquaculture Australia Holdco Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),41836.73,24021.08,31.924661528894653
A.C.N. 110 934 891 Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),40737.0,23494.0,31.844749790322254
Eagers Automotive Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),38206.0,27686.0,31.65232207164136
Icon Water Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),37097.0,94923.0,31.563955016359873
Thomas Foods International Consolidated Pty Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),36973.0,33535.0,31.553910725737172
Mmg Management Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),36774.0,83061.1,31.537720636408917
Hwg Holdings Pty Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),35775.0,21431.0,31.455097669544312
Electricity Networks Corporation,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),35188.0,577300.0,31.405466438243668
29Metals Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),34841.0,100247.0,31.37573650380032
Pantoro Gold Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),34513.0,20855.0,31.347360953422573
Queensland Rail,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),34214.0,233379.0,31.32125827015979
Pth No 1 Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),33487.0,33377.0,31.25682733405734
Aldi Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),32754.0,177238.0,31.190432703497926
Agnico Eagle Australia Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),30311.0,126664.0,30.95789685809531
Kilcoy Industries Australia Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),30195.96,50327.37,30.94648960813356
Ritchies Stores Proprietary Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),30155.0,51259.0,30.94241756199478
Gladstone Ports Corporation Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),30128.0,49010.0,30.939730326184346
Dp World Australia (Holding) Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),29945.0,31331.0,30.921453116092994
Mccain Foods (Aust) Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),29540.0,44016.0,30.880603223747734
