asx_code,name,market_cap_aud,scope1_t,scope2_t,s12_t,revenue_aud,cost_paid_aud,cost_paid_pct_mcap,cost_paid_pct_rev,cost_ngfs_nz30_aud,cost_ngfs_nz30_pct_mcap,cost_ngfs_nz30_pct_rev,cost_epa_scc_aud,cost_epa_scc_pct_mcap,cost_epa_scc_pct_rev,cost_bilal_aud,cost_bilal_pct_mcap,cost_bilal_pct_rev,unpriced_gap_aud
WDS,Woodside Energy Group Ltd,37000000000.0,8178233.0,5443.0,8183676.0,18000000000.0,266378653.80000004,0.7199423075675677,1.4798814100000002,1649010714.0,4.456785713513513,9.161170633333333,2410092582.0,6.513763735135135,13.389403233333333,13395040876.8,36.20281318054054,74.41689376,2143713928.2
CWY,Cleanaway Waste Management Ltd,5600000000.0,1082265.0,52035.0,1134300.0,3900000000.0,36921465.00000001,0.6593118750000002,0.946704230769231,228561450.0,4.081454464285715,5.86055,334051350.0,5.965202678571429,8.565419230769232,1856622240.0,33.15396857142857,47.60569846153846,297129885.0
STO,Santos Ltd,19000000000.0,2770980.0,794219.0,3565199.0,5400000000.0,116047227.45000002,0.6107748813157896,2.149022730555556,718387598.5,3.780987360526316,13.303474046296296,1049951105.5,5.52605845,19.44353899074074,5835517723.2,30.713251174736843,108.06514302222222,933903878.05
MYR,Myer Holdings Ltd,424030000.0,1510.0,74682.0,76192.0,,2480049.6,0.5848759757564324,,15352688.0,3.6206608023017237,,22438544.0,5.291735018748674,,124711065.6,29.41090620946631,,19958494.4
S32,South32 Ltd,20320000000.0,3476916.0,28306.0,3505222.0,9000000000.0,114094976.10000001,0.5614910241141732,1.2677219566666666,706302233.0,3.475896815944882,7.8478025888888885,1032287879.0,5.08015688484252,11.469865322222223,5737347369.599999,28.234977212598427,63.748304106666666,918192902.9
NHC,New Hope Corporation Ltd,5160000000.0,771327.0,65918.0,837245.0,1700000000.0,27252324.750000004,0.5281458284883722,1.6030779264705886,168704867.5,3.269474176356589,9.923815735294118,246568652.5,4.778462257751938,14.504038382352942,1370402616.0,26.55819023255814,80.6119185882353,219316327.75
SGR,The Star Entertainment Group Ltd,663620000.0,9433.0,97645.0,107078.0,,3485388.9000000004,0.5252085380187458,,21576217.0,3.2512909496398543,,31534471.0,4.751886772550556,,175265270.4,26.410486483228354,,28049082.1
AMI,Aurelia Metals Ltd,474152513.0,18938.0,56723.0,75661.0,,2462765.5500000003,0.5194036691734248,,15245691.5,3.2153560472640583,,22282164.5,4.6993665306167,,123841924.8,26.118584507006503,,19819398.95
BGA,Bega Cheese Ltd,1660000000.0,86875.0,153924.0,240799.0,3500000000.0,7838007.450000001,0.472169123493976,0.22394307000000002,48520998.5,2.9229517168674697,1.3863142428571429,70915305.5,4.272006355421687,2.0261515857142856,394139803.2,23.743361638554216,11.261137234285714,63077298.05
ILU,Iluka Resources Ltd,3600000000.0,421598.0,69417.0,491015.0,,15982538.250000002,0.4439593958333334,,98939522.5,2.7483200694444445,,144603917.5,4.016775486111111,,803693352.0,22.324815333333333,,128621379.25
AZJ,Aurizon Holdings Ltd,7300000000.0,703766.0,270624.0,974390.0,,31716394.500000004,0.43447115753424664,,196339585.0,2.6895833561643836,,286957855.0,3.930929520547945,,1594881552.0,21.847692493150685,,255241460.5
ALD,Ampol Ltd,8700000000.0,653888.44,195857.61,849746.0499999999,32000000000.0,27659233.927500002,0.3179222290517241,0.0864351060234375,171223829.075,1.9680899893678159,0.5350744658593749,250250211.725,2.876439215229885,0.782031911640625,1390864334.6399999,15.986946375172414,4.34645104575,222590977.79749998
ING,Inghams Group Ltd,2000000000.0,63122.0,125684.0,188806.0,3300000000.0,6145635.300000001,0.30728176500000004,0.18623137272727278,38044409.0,1.90222045,1.1528608787878787,55603367.0,2.78016835,1.6849505151515152,309037660.8,15.45188304,9.3647776,49457731.7
ORI,Orica Ltd,9900000000.0,744604.95,144285.71,888890.6599999999,8100000000.0,28933390.983000003,0.2922564745757576,0.35720235781481485,179111467.98999998,1.809206747373737,2.2112526912345674,261778299.36999997,2.6442252461616156,3.2318308564197524,1454936232.2879999,14.696325578666665,17.96217570725926,232844908.38699996
RIO,Rio Tinto Ltd,166000000000.0,7492899.92,6938447.36,14431347.280000001,82800000000.0,469740353.9640001,0.28297611684578317,0.5673192680724639,2907916476.92,1.7517569138072289,3.5119764214009663,4250031773.9600005,2.560260104795181,5.13288861589372,23621229227.904003,14.229656161387954,28.528054623072467,3780291419.9960003
SGH,SGH Ltd,16930000000.0,1191558.0,266310.0,1457868.0,,47453603.400000006,0.28029299113998823,,293760402.0,1.7351470880094506,,429342126.0,2.535984205552274,,2386238342.4,14.094733268753691,,381888522.6
WGX,Westgold Resources Ltd,2600000000.0,183116.0,20828.0,203944.0,,6638377.200000001,0.25532220000000005,,41094716.0,1.580566,,60061508.0,2.310058,,333815539.2,12.8390592,,53423130.8
FBU,Fletcher Building Ltd,2840000000.0,45568.0,175737.0,221305.0,,7203477.750000001,0.2536435827464789,,44592957.5,1.570174559859155,,65174322.5,2.2948705105633804,,362232024.0,12.754648732394367,,57970844.75
VAU,Vault Minerals Ltd,4150000000.0,280892.0,19832.0,300724.0,,9788566.200000001,0.235869065060241,,60595886.0,1.4601418313253012,,88563218.0,2.1340534457831324,,492225043.2,11.860844414457832,,78774651.8
SGLLV,Ricegrowers Ltd,871418411.0,9679.0,52776.0,62455.0,1900000000.0,2032910.2500000002,0.23328750280443641,0.10699527631578949,12584682.5,1.444160731646511,0.6623517105263158,18392997.5,2.1106964539449007,0.9680525,102226344.0,11.731028712451659,5.380333894736842,16360087.25
