Company Name,Symbol,Market
Eq8 Msci Malaysia Islamic Dividend ETF,0824EA,Main Market
Eq8 Msci SEA Islamic Dividend ETF,0825EA,Main Market
Equitiestracker Holdings Berhad,03021,LEAP Market
ES Ceramics Technology Bhd,0100,ACE Market
Esthetics International Group Berhad,5081,Main Market
Eupe Corporation Berhad,6815,Main Market
Euro Holdings Berhad,7208,Main Market
Eurospan Holdings Berhad,7094,Main Market
EVD Berhad,0174,ACE Market
Evergreen Fibreboard Berhad,5101,Main Market
Evergreen MAX Cash Capital Berhad,0286,ACE Market
Eversafe Rubber Berhad,0190,ACE Market
Eversendai Corporation Berhad,5205,Main Market
Ewein Berhad,7249,Main Market
Excel Force MSC Berhad,0065,ACE Market
Facb Industries Incorporated Berhad,2984,Main Market
Fajarbaru Builder Group Bhd,7047,Main Market
FAR East Holdings Berhad,5029,Main Market
Farlim Group (Malaysia) Bhd,6041,Main Market
Farm Fresh Berhad,5306,Main Market
Farm Price Holdings Berhad,0304,ACE Market
Fast Energy Holdings Berhad,0084,ACE Market
Favelle Favco Berhad,7229,Main Market
FCW Holdings Berhad,2755,Main Market
Federal International Holdings Berhad,8605,Main Market
Feytech Holdings Berhad,5322,Main Market
FGV Holdings Berhad,5222,Main Market
Fiamma Holdings Berhad,6939,Main Market
Fibon Berhad,0149,ACE Market
Fibromat (M) Berhad,03026,LEAP Market
Fima Corporation Berhad,3107,Main Market
Fintec Global Berhad,0150,ACE Market
Fitters Diversified Berhad,9318,Main Market
Flexidynamic Holdings Berhad,0231,ACE Market
FM Global Logistics Holdings Berhad,7210,Main Market
Focus Dynamics Group Berhad,0116,ACE Market
Focus Lumber Berhad,5197,Main Market
Focus Point Holdings Berhad,0157,ACE Market
Formosa Prosonic Industries Berhad,9172,Main Market
Foundpac Group Berhad,5277,Main Market
Fraser & Neave Holdings Bhd,3689,Main Market
Frontken Corporation Berhad,0128,ACE Market
Fsbm Holdings Berhad,9377,Main Market
Ftse Bursa Malaysia Klci ETF,0820EA,Main Market
G Capital Berhad,7676,Main Market
G3 Global Berhad,7184,Main Market
Gabungan Aqrs Berhad,5226,Main Market
Gadang Holdings Bhd,9261,Main Market
Gagasan Nadi Cergas Berhad,0206,ACE Market
Gamuda Berhad,5398,Main Market
GAS Malaysia Berhad,5209,Main Market
GDB Holdings Berhad,0198,ACE Market
Gdex Berhad,0078,ACE Market
Genetec Technology Berhad,0104,ACE Market
Genting Berhad,3182,Main Market
Genting Malaysia Berhad,4715,Main Market
Genting Plantations Berhad,2291,Main Market
George Kent (Malaysia) Berhad,3204,Main Market
Ge-shen Corporation Berhad,7197,Main Market
GFM Services Berhad,0039,ACE Market
GHL Systems Berhad,0021,ACE Market
Giib Holdings Berhad,7192,Main Market
Global Oriental Berhad,1147,Main Market
Globaltec Formation Berhad,5220,Main Market
Globetronics Technology Berhad,7022,Main Market
Glomac Berhad,5020,Main Market
Glostrext Berhad,0284,ACE Market
GO HUB Capital Berhad,0311,ACE Market
GO Innovate Asia Berhad,03028,LEAP Market
Golden Land Berhad,7382,Main Market
Golden Pharos Berhad,5649,Main Market
Gopeng Berhad,2135,Main Market
GPP Resources Berhad,03029,LEAP Market
Grand Central Enterprises Bhd,5592,Main Market
Greatech Technology Berhad,0208,ACE Market
Greater BAY Holdings Berhad,9148,Main Market
Green Ocean Corporation Berhad,0074,ACE Market
Green Packet Berhad,0082,ACE Market
Greenyield Berhad,0136,ACE Market
Gromutual Berhad,9962,Main Market
Guan Chong Berhad,5102,Main Market
GUH Holdings Berhad,3247,Main Market
Guocoland (Malaysia) Berhad,1503,Main Market
Haily Group Berhad,0237,ACE Market
Handal Energy Berhad,7253,Main Market
HAP Seng Consolidated Berhad,3034,Main Market
HAP Seng Plantations Holdings Berhad,5138,Main Market
Harbour-link Group Berhad,2062,Main Market
Harn LEN Corporation Bhd,7501,Main Market
Harrisons Holdings (Malaysia) Berhad,5008,Main Market
Hartalega Holdings Berhad,5168,Main Market
Harvest Miracle Capital Berhad,0060,ACE Market
HB Global Limited,5187,Main Market
HCK Capital Group Berhad,7105,Main Market
HE Group Berhad,0296,ACE Market
Heineken Malaysia Berhad,3255,Main Market
Heitech Padu Berhad,5028,Main Market
Hektar Real Estate Investment Trust,5121,Main Market
Hengyuan Refining Company Berhad,4324,Main Market
Heveaboard Berhad,5095,Main Market
Hextar Capital Berhad,0035,ACE Market
Hextar Global Berhad,5151,Main Market
Hextar Healthcare Berhad,7803,Main Market
Hextar Industries Berhad,0161,ACE Market
Hextar Retail Berhad,7202,Main Market
Hextar Technologies Solutions Berhad,5136,Main Market
Hexza Corporation Berhad,3298,Main Market
Hhrg Berhad,0175,ACE Market
Hiap Huat Holdings Berhad,0160,ACE Market
Hiap Teck Venture Berhad,5072,Main Market
Hibiscus Petroleum Berhad,5199,Main Market
HIL Industries Berhad,8443,Main Market
HLT Global Berhad,0188,ACE Market
HO HUP Construction Company Bhd,5169,Main Market
HO WAH Genting Berhad,9601,Main Market
Homeritz Corporation Berhad,5160,Main Market
Hong Leong Bank Berhad,5819,Main Market
Hong Leong Capital Berhad,5274,Main Market
Hong Leong Financial Group Berhad,1082,Main Market
Hong Leong Industries Berhad,3301,Main Market
Hong Seng Consolidated Berhad,0041,ACE Market
Hpmt Holdings Berhad,5291,Main Market
HPP Holdings Berhad,0228,ACE Market
HSS Engineers Berhad,0185,ACE Market
HUA Yang Berhad,5062,Main Market
Hubline Berhad,7013,Main Market
Hume Cement Industries Berhad,5000,Main Market
HUP Seng Industries Berhad,5024,Main Market
HWA TAI Industries Berhad,8478,Main Market
I-berhad,4251,Main Market
Ibraco Berhad,5084,Main Market
Icapital.biz Berhad,5108,Main Market
Icon Offshore Berhad,5255,Main Market
Iconic Worldwide Berhad,9113,Main Market
ICT Zone Asia Berhad,03038,LEAP Market
IDB Technologies Berhad,03030,LEAP Market
Ideal Capital Berhad,9687,Main Market
Ifca MSC Berhad,0023,ACE Market
IGB Berhad,5606,Main Market
IGB Commercial Real Estate Investment Trust,5299,Main Market
IGB Real Estate Investment Trust,5227,Main Market
IHH Healthcare Berhad,5225,Main Market
Ihsan Sukuk-etbs 4.60%0824,0401GA,Main Market
IJM Corporation Berhad,3336,Main Market
ILB Group Berhad,5614,Main Market
Imaspro Corporation Berhad,7222,Main Market
Inari Amertron Berhad,0166,ACE Market
Inch Kenneth Kajang Rubber Public LTD CO,2607,Main Market
Industronics Berhad,9393,Main Market
Infoline TEC Group Berhad,0253,ACE Market
Infomina Berhad,0265,ACE Market
Infraharta Holdings Berhad,7240,Main Market
Ingenieur Gudang Berhad,5178,Main Market
Innature Berhad,5295,Main Market
Innity Corporation Berhad,0147,ACE Market
Innoprise Plantations Berhad,6262,Main Market
Insas Berhad,3379,Main Market
Inta Bina Group Berhad,0192,ACE Market
IOI Corporation Berhad,1961,Main Market
IOI Properties Group Berhad,5249,Main Market
IQ Group Holdings Berhad,5107,Main Market
Iqzan Holding Berhad,7183,Main Market
Ireka Corporation Berhad,8834,Main Market
Iris Corporation Berhad,0010,ACE Market
Iskandar Waterfront City Berhad,1589,Main Market
Itmax System Berhad,5309,Main Market
Ivory Properties Group Berhad,5175,Main Market
Jadi Imaging Holdings Berhad,7223,Main Market
JAG Berhad,0024,ACE Market
Jaks Resources Berhad,4723,Main Market
Jasa Kita Berhad,8648,Main Market
Jati Tinggi Group Berhad,0292,ACE Market
Jaya Tiasa Holdings Bhd,4383,Main Market
Jaycorp Berhad,7152,Main Market
Jcbnext Berhad,0058,ACE Market
JCY International Berhad,5161,Main Market
Jentayu Sustainables Berhad,5673,Main Market
JF Technology Berhad,0146,ACE Market
JHM Consolidation Berhad,0127,ACE Market
Jiankun International Berhad,8923,Main Market
Jishan Berhad,03040,LEAP Market
JKG Land Berhad,6769,Main Market
JOE Holding Berhad,7096,Main Market
Johan Holdings Berhad,3441,Main Market
Johor Plantations Group Berhad,5323,Main Market
K. Seng Seng Corporation Berhad,5192,Main Market
Kamdar Group (M) Berhad,8672,Main Market
Kanger International Berhad,0170,ACE Market
Karex Berhad,5247,Main Market
Karyon Industries Berhad,0054,ACE Market
Kawan Food Berhad,7216,Main Market
Kawan Renergy Berhad,0307,ACE Market
Keck Seng (Malaysia) Berhad,3476,Main Market
Kein Hing International Berhad,7199,Main Market
Kelington Group Berhad,0151,ACE Market
KEN Holdings Berhad,7323,Main Market
Kenanga Investment Bank Berhad,6483,Main Market
Kenanga Klci Daily (-1x) Inverse ETF,0835EA,Main Market
Kenanga Klci Daily 2x Leveraged ETF,0834EA,Main Market
Kerjaya Prospek Group Berhad,7161,Main Market
Kerjaya Prospek Property Berhad,7077,Main Market
Kesm Industries Berhad,9334,Main Market
KEY Alliance Group Berhad,0036,ACE Market
KEY Asic Berhad,0143,ACE Market
Keyfield International Berhad,5321,Main Market
KGW Group Berhad,0282,ACE Market
Khee SAN Berhad,6203,Main Market
Khind Holdings Berhad,7062,Main Market
KIA LIM Berhad,6211,Main Market
KIM HIN Industry Berhad,5371,Main Market
KIM HIN JOO (Malaysia) Berhad,0210,ACE Market
KIM Loong Resources Berhad,5027,Main Market
KIM Teck Cheong Consolidated Berhad,0180,ACE Market
Kimlun Corporation Berhad,5171,Main Market
